antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'kind_B 789/BC'}),"frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9997106314022802,1.0,0.9997106314022802,1.0,1.0,1.0,0.0,inf,0.0,0.9997106314022803,0.0,0.9998553157011401
"frozenset({'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),1.0,0.9997106314022802,0.9997106314022802,0.9997106314022802,1.0,1.0,0.0,1.0,0.0,0.9997106314022803,0.0,0.9998553157011401
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,1.0,0.9993633890850165,1.0,1.0,1.0,0.0,inf,0.0,0.9993633890850167,0.0,0.9996816945425082
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",1.0,0.9993633890850165,0.9993633890850165,0.9993633890850165,1.0,1.0,0.0,1.0,0.0,0.9993633890850167,0.0,0.9996816945425082
"frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9990740204872968,1.0,0.9990740204872968,1.0,1.0,1.0,0.0,inf,0.0,0.9990740204872968,0.0,0.9995370102436484
"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.9993633890850165,0.9997106314022802,0.9990740204872968,0.9997104470697243,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9993633890849924,-0.0002895529302643734,0.9990740204872968,-0.0006370164466305025,0.9995368259431058
"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.9997106314022802,0.9993633890850165,0.9990740204872968,0.9993632048164872,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9997106314022233,-0.0006367951834879398,0.9990740204872968,-0.00028945235619917014,0.9995368259431058
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,0.9997106314022802,0.9990740204872968,0.9997104470697243,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9993633890849924,-0.0002895529302643734,0.9990740204872968,-0.0006370164466305025,0.9995368259431058
frozenset({'kind_B 789/BC'}),"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.9997106314022802,0.9993633890850165,0.9990740204872968,0.9993632048164872,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9997106314022233,-0.0006367951834879398,0.9990740204872968,-0.00028945235619917014,0.9995368259431058
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})",1.0,0.9990740204872968,0.9990740204872968,0.9990740204872968,1.0,1.0,0.0,1.0,0.0,0.9990740204872968,0.0,0.9995370102436484
frozenset({'alloy_type_open'}),"frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.989698477921176,1.0,0.989698477921176,1.0,1.0,1.0,0.0,inf,0.0,0.989698477921176,0.0,0.9948492389605881
"frozenset({'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),1.0,0.989698477921176,0.989698477921176,0.989698477921176,1.0,1.0,0.0,1.0,0.0,0.989698477921176,0.0,0.9948492389605881
"frozenset({'kind_B 789/BC', 'alloy_type_open'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9894091093234563,1.0,0.9894091093234563,1.0,1.0,1.0,0.0,inf,0.0,0.9894091093234563,0.0,0.9947045546617281
"frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.989698477921176,0.9997106314022802,0.9894091093234563,0.9997076194374598,0.9999969871633593,1.0,-2.980936998353556e-06,0.9896984779211215,-0.00029238056254265066,0.9894091093234563,-0.010408748026486843,0.9947015577793992
"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),0.9997106314022802,0.989698477921176,0.9894091093234563,0.9896954961213384,0.9999969871633593,1.0,-2.980936998353556e-06,0.9997106314022771,-0.01030450387874784,0.9894091093234563,-0.0002894523561452642,0.9947015577793992
frozenset({'alloy_type_open'}),"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.989698477921176,0.9997106314022802,0.9894091093234563,0.9997076194374598,0.9999969871633593,1.0,-2.980936998353556e-06,0.9896984779211215,-0.00029238056254265066,0.9894091093234563,-0.010408748026486843,0.9947015577793992
